organization_id,source_link,software,internal_link
8,https://engage.thenationalcouncil.org/communities/community-home,Higher Logic,1
8,https://engage.thenationalcouncil.org/communities/community-home,Higher Logic,1
8,https://www.thenationalcouncil.org/center-for-consulting-training/addressing-health-equity-and-racial-justice/,The Associate,1
8,https://www.thenationalcouncil.org/topics/long-acting-medications/,The Associate,1
8,http://thenationalcouncil.applicantstack.com/x/openings,Amilia,1
8,http://thenationalcouncil.applicantstack.com/x/openings,Guild,1
8,https://www.thenationalcouncil.org/about/membership/why-become-a-member/,Association Online ,1
